Age_AD_BC;Acer;Alnus;Betula;Carpinus;Corylus;Fagus;Fraxinus;Picea;Pinus;Quercus;Tilia;Ulmus;Salix;Artemisia;Calluna;Cerealia.excl.Secale;Cyperaceae;Gramineae;Plantago.lanceolata;Rumex.acetosella;Secale
2011;1;94;64;5;5;20;8;9;160;69;6;0;28;4;0;14;2;42;1;4;13
2006;1;118;71;7;8;20;10;10;151;55;1;3;19;5;0;3;0;32;1;5;4
2003;0;70;66;6;0;23;6;3;104;28;0;2;16;5;0;8;0;26;0;4;4
2001;0;87;70;5;4;17;7;5;132;68;10;0;20;5;3;6;0;22;1;6;3
1998;1;46;59;2;7;7;0;7;193;36;2;1;14;3;1;6;0;34;0;4;10
1996;2;66;118;19;6;16;2;13;167;64;3;2;21;9;0;9;0;32;0;5;16
1993;1;104;83;7;9;23;5;12;128;43;0;3;25;5;1;10;1;31;2;7;21
1991;2;98;49;1;11;13;0;2;184;52;3;0;28;6;2;16;3;50;1;2;86
1989;1;74;34;5;5;9;5;1;112;45;1;3;24;5;2;10;0;43;0;1;20
1987;1;54;64;0;3;17;5;5;136;71;1;2;21;7;1;15;2;48;1;6;40
1985;0;54;49;3;4;18;3;4;189;65;0;7;29;6;0;7;1;59;0;7;39
1983;0;82;65;1;5;10;1;8;138;49;1;14;46;11;1;37;1;74;0;9;35
1980;0;53;57;10;13;16;1;2;107;41;1;15;34;6;0;10;4;52;1;5;26
1977;0;64;65;5;15;12;6;4;156;47;1;10;40;7;1;13;2;73;2;10;25
1975;0;104;63;4;12;18;16;2;106;27;1;11;21;10;0;8;5;53;3;10;20
1972;1;56;38;4;14;9;3;2;116;40;2;15;32;14;1;17;1;70;0;14;25
1970;0;45;37;2;5;5;2;0;97;38;0;12;25;7;1;7;2;67;3;15;35
1968;1;69;38;4;7;15;0;0;79;36;1;8;27;9;0;3;2;66;3;11;25
1965;1;37;50;2;11;6;2;5;131;38;1;6;30;18;3;18;4;116;6;27;44
1963;0;18;27;3;6;11;2;0;31;12;0;6;14;3;1;3;1;22;0;4;11
1962;1;59;65;0;17;19;1;5;137;51;3;3;31;16;0;27;3;77;5;31;51
1960;0;68;79;6;11;22;4;2;97;58;3;11;35;11;3;22;6;95;12;30;57
1959;0;41;44;1;11;11;2;1;103;28;2;7;27;4;1;8;5;71;3;25;36
1956;1;59;90;4;9;10;3;4;129;43;3;5;35;12;3;33;3;103;5;15;75
1954;0;32;55;2;12;10;3;3;99;44;2;9;16;7;5;8;4;84;7;21;38
1952;0;44;79;4;20;15;4;2;134;59;3;11;16;18;4;46;9;73;8;25;49
1950;0;74;55;1;7;17;6;2;117;31;1;9;7;7;5;12;4;61;12;42;38
1948;1;39;54;3;12;15;2;3;124;42;0;6;28;7;4;17;1;75;7;27;67
1946;1;56;68;5;11;16;4;5;102;50;1;7;24;4;4;6;1;75;7;18;44
1944;0;57;55;5;10;14;4;3;104;46;1;9;22;4;3;9;5;76;6;40;56
1942;0;67;75;5;11;22;5;7;105;47;4;17;23;4;2;18;3;87;9;28;69
1941;1;34;28;3;7;3;4;1;49;24;0;9;10;2;1;9;2;58;3;16;44
1938;1;56;71;2;17;20;3;1;95;43;0;5;25;9;2;22;5;71;8;28;52
1936;0;49;46;5;11;10;1;1;89;26;1;7;14;8;0;7;5;89;13;32;40
1933;0;58;55;4;10;14;3;4;108;37;1;8;17;2;2;18;3;124;5;37;53
1931;1;28;40;3;5;5;3;0;66;25;0;6;12;2;3;9;5;71;3;20;25
1929;1;36;42;4;8;30;2;2;146;24;1;68;13;5;2;25;9;126;15;53;55
1927;0;53;35;1;7;19;3;2;105;37;0;14;14;5;2;18;3;58;2;45;52
1920;0;40;50;5;11;14;0;0;84;23;0;9;2;8;3;22;4;128;5;39;63
1915;0;18;29;2;2;18;2;1;84;14;0;4;1;7;3;5;6;68;3;19;42
1910;0;24;40;1;5;6;0;0;95;17;0;6;0;3;4;9;10;45;5;19;50
1904;0;23;49;2;5;28;1;1;95;42;0;4;2;3;5;8;11;89;3;58;48
1894;0;29;50;1;13;24;0;1;117;32;0;0;3;2;7;9;7;61;9;35;52
1889;0;27;37;4;15;20;1;0;132;33;0;1;4;10;5;9;9;72;12;33;55
1883;1;42;56;1;10;27;2;1;101;38;1;3;2;8;3;12;5;86;14;39;61
