Depth,Pinus,Pinus halfs,Pinus Strobus,Picea,Picea halfs,Tsuga,Cuppressaceae,Quercus,Betula,Fagus,Ulmus,Castanea,Populus,Acer sacc,Ostrya/Carpinus,Platanus,AP,Rumex,Graminae,Ambrosia,Carya,Fraxinus,Juglans cinerea,Acer rubrum,Corylus,Viburnum,Salix,Vitis,Alnus,Cyperaceae,Thalictrum,Larix,Ilex,Tilia,Acer Pennsylvanicum,Ericaceae,Plantage Lancelata,Abies,Abies half,Liquidambar,Compositae,Sanguisorba canadensis,Acer spicatom,Arceothobium
9.0-9.5,2,9,6,3,12,29,3,7,38,26,1,1,1,3,1,1,133,4,7,6,,,,,,,,,,,,,,,,,,,,,,,,
22-22.5,5,13,11,12,8,51,,15,58,55,10,,,13,3,,252,4,2,9,1,4,3,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
28-28.5,5,14,1,5,6,53,1,15,72,45,6,,1,8,1,1,233,2,8,9,3,5,,,1,,,,6,,,1,1,,,,,,,,,,,
29-29.5,6,13,5,11,11,59,,16,66,39,3,1,,8,5,,240,1,1,3,,6,,,,,,,2,,,,2,1,1,1,1,,,,,,,
30-31,14,9,,8,12,60,,14,55,24,,1,,6,,1,105,2,,2,1,4,1,,,,,,1,1,,,,,1,1,,1,1,1,,,,
31-32,4,4,,11,13,40,,14,53,31,3,,,7,4,1,186,,2,4,2,4,1,,,,,,1,,,,,2,,,,,,,1,,,
32-33,5,8,2,16,13,77,,22,48,37,11,,,8,2,3,253,1,,1,3,4,1,1,,,,,1,,,,,,1,,,,,1,,1,,
33-34,5,3,3,10,10,39,1,25,82,37,7,,,6,4,3,232,1,1,3,,,,,,,,,4,,,,,3,,2,,,,,,,,
40-41,3,7,2,6,4,54,,14,29,35,7,,,4,,,169,,,,1,5,,,,,1,,2,,,,1,,,,,,,,,,1,
35-36,1,9,7,10,13,67,,13,60,47,5,2,,7,4,,242,2,3,1,2,2,1,,,,1,,3,,,,,,,,,,,,,,,1
37-38,4,9,,7,9,59,,11,55,45,8,1,,5,2,,216,,1,1,3,1,3,1,,,,,1,,,,,,,,,,,,,,,
45-46,1,6,6,7,7,48,1,10,47,41,3,1,,8,5,,190,1,,,,2,,,,,,,,,,,,1,1,,,,,,,,,
