Depth,Pinus,Pinus halfs,Pinus Strobus,Picea,Picea halfs,Tsuga,Cuppressaceae,Quercus,Betula,Fagus,Ulmus,Castanea,Populus,Acer sacc,Ostrya/Carpinus,Platanus,AP,Rumex,Graminae,Ambrosia,Carya,Fraxinus,Juglans cinerea,Acer rubrum,Corylus,Viburnum,Salix,Vitis,Alnus,Cyperaceae,Thalictrum,Larix,Ilex,Tilia,Acer Pennsylvanicum,Ericaceae,Plantage Lancelata,Abies,Abies half,Liquidambar,Compositae,Sanguisorba canadensis,Acer spicatum,Arceothobium,Myrica ,Clethra,Urtica,Plantago lanceolata,Plantago majore,Rebus,Artemisia,Comp,Rosaceae,Chenopodium am,Potentilla ,umbelliferae,Zea,Sambucus,Humulus,Juglans nigra,Taxus,Ranunculus,Rhus,Epilobium,Geranium,Celtis,Morus,Sanguisorba canadensis,Xanthium
0.0-0.5,2,6,6,10,18,5,,12,101,21,3,,2,3,1,,189,,2,14,1,4,,1,1,1,,1,4,1,,0,,,,,,1,3,,1,,1,,,,,1,,,2,,,2,,,,,,,,1,,,,,,,
1.0-1.5,1,3,11,11,5,7,,8,72,15,1,,,4,,,141,,2,7,1,2,,,1,,1,,1,,,0,,,,,1,2,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0-2.5,4,7,9,10,12,4,2,15,108,28,5,,1,11,,2,214,,7,12,,6,,,,,,,6,1,,0,1,,1,,,2,1,,,,,,,,,1,,,2,,,2,,,,,,,,1,,,,,,,
3.0-3.5,2,6,10,21,12,5,1,8,90,16,6,,,,2,,181,2,4,10,,1,,4,,,2,,2,,,0,,,2,,,4,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
4.0-4.5,8,5,9,13,16,5,3,11,106,15,4,,,6,1,,203,3,3,21,1,5,1,2,,,,,1,,,0,,,,,1,,2,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
4.5-5.0,6,5,3,13,10,1,2,10,66,10,3,,2,5,3,,141,1,3,15,,3,,1,1,,1,,3,,,0,,,,,,4,,,1,,1,,,,,,1,,,,,2,,,,,,,,,1,1,,,,,
5.0-5.5,,3,5,25,18,6,,5,114,15,5,,,8,2,,210,,15,22,1,5,,2,,,,,5,1,,0,1,,1,,,1,4,,,,,,,,,2,,,1,,,1,,,,1,,2,,,,,1,,,,
6.0-6.5,6,3,6,17,24,9,1,12,101,12,4,,1,4,,,205,,8,17,1,1,1,1,,,,,2,2,,0,,,1,1,,1,2,1,,,,,,,,2,1,,2,,1,2,,,,,,,,,,,,,,,
6.5-7,5,4,3,33,14,4,1,8,109,7,2,,1,2,3,,193,4,4,22,1,1,1,2,,,1,,3,,,0,,,,,,,2,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
7.0-7.5,1,3,1,33,10,5,1,10,69,9,,,,1,,,144,3,8,11,,3,,1,,,,,3,1,,0,,,,,,1,1,1,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,
7.5-8.,4,8,4,29,22,6,2,9,105,8,3,,1,2,1,1,199,5,9,21,1,3,1,1,,,,,9,1,,0,,,1,,,1,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
8.0-8.5,2,5,6,45,12,4,2,10,97,16,4,,,6,1,,209,2,5,26,1,1,,1,,,1,,1,,,0,1,,,,,3,1,,1,,,,,,,1,,,2,,,,,,1,,,,,,,,,,,,
8.5-9.0,4,8,7,36,23,4,1,9,104,14,4,,,4,,1,215,4,6,22,2,,,1,,,,,8,1,,0,1,,1,,,1,5,,2,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,
9.0-9.5,9,9,8,36,23,4,4,13,105,15,3,,1,5,1,1,236,8,10,20,1,4,,2,,,,,2,1,,0,,,,2,,5,1,,3,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,
9.5-10,6,6,6,23,17,,,7,50,15,1,1,1,2,,1,129,3,8,26,,,,,1,,1,,1,,,0,,,,,2,3,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,
10.0-10.5,4,8,8,41,13,6,1,8,104,17,,1,,1,1,1,221,3,3,20,,2,1,,,,,,2,,,0,,,,,,4,1,,,,1,,,,,1,,,1,,,2,,,,,,1,,,,,,,,,
11.0-11.5,5,7,3,35,17,4,1,8,107,9,5,,1,1,1,,201,5,6,16,,3,,,,,,,7,,1,0,1,1,,,,3,,,1,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,
11.5-12.0,1,14,7,26,18,6,,17,119,22,2,,,5,3,,233,3,11,18,1,2,,1,2,,,1,,4,,1,,,,,,1,3,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,
12.0-12.5,3,7,9,29,22,5,1,11,95,19,4,,,3,3,1,204,9,2,27,,4,,1,,,,,2,1,,0,,1,,1,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
12.5-13,3,15,3,28,23,8,1,19,126,19,2,,,3,,,236,3,7,20,,1,,,2,,1,,3,,,1,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
14.0-14.5,5,8,10,19,26,13,,27,111,19,1,,,8,5,1,247,6,9,8,,,1,2,,1,,1,2,1,,1,,,1,,,3,1,,,,1,,,,,,,,1,,,,,,,,,,,,1,,1,,,,
15.0-15.5,3,18,6,14,24,13,,16,123,21,4,,1,4,,1,237,3,8,9,1,3,,,,,1,,,,,0,,,1,,,3,2,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
16.0-16.5,5,20,7,17,16,11,,15,126,29,8,,,5,3,,253,6,5,5,2,5,,,,,1,,3,1,,0,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,
17.0-17.5,11,22,12,27,21,21,2,18,147,36,6,1,,7,,,313,2,3,1,,,,,,,,,4,,,0,,2,1,,,1,,,,,1,,,,,,,,1,,,,,,2,,,,,,,,,,,,
18.0-18.5,5,13,20,17,17,18,1,21,112,21,8,,,1,1,1,249,,2,3,,4,,,,,,,3,,,0,,,,,,1,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
20.5-21,3,6,2,7,4,8,3,9,51,8,4,1,,3,1,,113,,,2,1,3,1,,1,,,,2,,,1,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
24.5-25,3,8,11,17,19,22,1,20,134,36,7,1,,4,6,2,288,,,2,,4,,1,,,,,6,,,0,1,2,,1,,1,1,,2,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
26.0-26.5,1,3,8,7,22,18,,12,111,27,1,,1,6,2,,221,,1,2,,8,1,,,,,,,,,0,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
29.0-29.5,10,19,4,38,14,19,2,13,84,16,8,,1,4,,1,226,,,,2,1,1,,,,,,,,,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0-33.0,,13,5,19,16,19,1,15,107,19,1,3,2,8,2,1,225,,,,1,3,,,,,,,3,,,0,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
37.0-38.0,5,6,6,32,16,20,1,23,111,21,6,,,11,4,,262,,1,1,,4,,1,,1,,,2,,,0,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
