Depth,Pinus,Pinus halfs,Pinus Strobus,Picea,Picea halfs,Tsuga,Cuppressaceae,Quercus,Betula,Fagus,Ulmus,Castanea,Populus,Acer sacc,Ostrya/Carpinus,Platanus,AP,Rumex,Graminae,Ambrosia,Carya,Fraxinus,Juglans cinerea,Acer rubrum,Corylus,Viburnum,Salix,Vitis,Alnus,Cyperaceae,Thalictrum,Larix,Ilex,Tilia,Acer Pennsylvanicum,Ericaceae,Plantage Lancelata,Abies,Abies half,Liquidambar,Compositae,Sanguisorba canadensis,Acer spicatum,Arceothobium,Myrica ,Clethra,Urtica,Plantago lanceolata,Plantago majore,Rebus,Artemisia,Comp,Rosaceae,Chenopodium am,Potentilla ,umbelliferae,Zea,Sambucus,Humulus,Juglans nigra,Taxus,Ranunculus,Rhus,Epilobium,Geranium,Celtis,Morus,Sanguisorba canadensis,Xanthium,Liliaceae,Sorbus,Arceuthobium,Cornus,Tubuliflorae,Nyssa,Rubiaceae
0-0.5,5,5,6,8,13,14,1,5,101,20,1,1,1,5,,,184,2,2,12,,3,2,1,,,,,3,,,,,,,,,,1,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,1,,,
2.0-2.5,8,4,5,17,23,9,5,9,99,21,2,,,5,1,,203,1,5,16,1,1,,1,,,,,2,2,,1,1,,1,,,2,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,1,,
5.0-5.5,13,10,1,11,15,4,3,5,73,11,3,,,1,,,145,1,5,10,,1,,2,,,,,2,1,,,,1,1,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,1
8.0-8.5,4,7,5,20,10,10,2,5,100,22,2,,,4,2,,197,1,6,7,2,1,,1,,,,,5,1,,,1,,3,,,4,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,
10.0-10.5,5,3,6,14,13,10,,7,108,31,2,,4,3,,,205,3,5,21,2,2,,1,1,,,,2,1,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,
13.0-13.5,3,10,3,11,13,13,2,14,100,26,3,,1,2,1,,197,1,6,14,,2,,3,,,,,2,3,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,1,,,,1,,,,,,,,,,,,
15.0-15.5,3,6,7,19,9,11,,9,101,25,2,1,,3,,1,196,4,5,14,,,1,1,,,,,3,,,1,,,,,,3,,,,,,,,,,1,,,1,,,2,,,,1,,,,,,,,,,,,,,,,1,,
17.0-17.5,1,13,4,13,15,17,1,13,109,22,2,,2,4,1,,211,3,4,14,,2,,1,,,,,1,1,,,,1,,1,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,
20.0-20.5,3,10,9,24,10,10,3,8,108,24,,,,5,1,,223,,5,21,1,4,,1,,,,,1,,,,1,,,,,2,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23-23.5,5,6,6,21,22,13,1,8,108,27,5,,,3,1,,217,5,7,7,1,1,,,,,1,,4,1,,,,1,1,,,,1,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,
25.0-25.5,11,9,6,21,12,14,3,7,101,22,5,1,,4,,,220,1,5,11,1,3,1,2,,,,,5,,,2,,1,,,,2,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
27.0-27.5,1,6,4,23,25,15,2,8,102,12,2,1,,3,,,195,1,9,12,,1,1,1,,,,,1,2,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
29.0-29.5,1,2,18,31,17,10,2,11,102,24,4,,,5,1,1,228,2,7,8,,1,,3,,,,,2,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
31.0-31.5,2,8,7,27,10,12,1,7,103,22,5,,2,5,,1,209,8,5,14,,1,1,2,1,,1,,1,3,,,,,,,,1,2,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,
32.0-32.5,2,8,11,28,11,13,,6,99,22,2,,,3,,,204,2,8,8,,3,,1,,,,,2,1,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,
33.0-33.5,3,4,6,19,21,16,2,12,84,22,5,1,,3,1,1,195,5,2,4,,3,,2,1,,,,1,2,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
35-36,3,11,17,29,21,28,1,17,106,31,4,1,,3,2,,263,1,3,6,,,,1,,,1,,5,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
36-37,2,9,16,17,16,23,,8,108,32,1,,,5,1,2,244,2,2,1,4,5,3,,,,,,3,1,,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-40,3,8,10,23,31,33,1,21,103,31,5,,2,5,1,,274,,,1,3,4,2,2,1,2,,,5,1,,1,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
